"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SABPH2760","SABPH2819","SABPH2900","SABPH2947","SABPH2986"
"group_126","","hypothetical protein","5","5","1","1","727","","","","152","152","152","BPOBBBHG_00372","PCKNBOAI_00728","LDKIDLOJ_00356","HHCDGDKF_00503","GIPNDHBP_00365"
"qorB","","Quinone oxidoreductase 2","5","5","1","1","721","","","","845","845","845","BPOBBBHG_00377","PCKNBOAI_00726","LDKIDLOJ_00358","HHCDGDKF_00505","GIPNDHBP_00367"
"metN","","Methionine import ATP-binding protein MetN","5","5","1","1","658","","","","1025","1025","1025","BPOBBBHG_00411","PCKNBOAI_00688","LDKIDLOJ_00390","HHCDGDKF_00539","GIPNDHBP_00407"
"gltA","","Glutamate synthase [NADPH] large chain","5","5","1","1","648","","","","581","4499","3715","BPOBBBHG_00421","PCKNBOAI_00678","LDKIDLOJ_00400","HHCDGDKF_00549","GIPNDHBP_00417"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","5","5","1","1","2982","","","","1322","1322","1322","BPOBBBHG_00563","PCKNBOAI_00538","LDKIDLOJ_00541","HHCDGDKF_00687","GIPNDHBP_00558"
"group_132","","Transcriptional regulator","5","5","1","1","2983","","","","440","440","440","BPOBBBHG_00564","PCKNBOAI_00537","LDKIDLOJ_00542","HHCDGDKF_00688","GIPNDHBP_00559"
"group_133","","endonuclease III","5","5","1","1","3005","","","","635","635","635","BPOBBBHG_00587","PCKNBOAI_00524","LDKIDLOJ_00556","HHCDGDKF_00711","GIPNDHBP_00582"
"group_134","","hypothetical protein","5","5","1","1","3014","","","","560","929","855","BPOBBBHG_00596","PCKNBOAI_00515","LDKIDLOJ_00565","HHCDGDKF_00720","GIPNDHBP_00591"
"group_136","","DNA utilization protein GntX","5","5","1","1","2271","","","","386","674","616","BPOBBBHG_00726","PCKNBOAI_00384","LDKIDLOJ_00698","HHCDGDKF_00850","GIPNDHBP_00738"
"est_2","","Carboxylesterase","5","5","1","1","2300","","","","740","740","740","BPOBBBHG_00755","PCKNBOAI_00355","LDKIDLOJ_00728","HHCDGDKF_00879","GIPNDHBP_00767"
"group_141","","hypothetical protein","5","5","1","1","2232","","","","443","521","505","BPOBBBHG_00760","PCKNBOAI_00325","LDKIDLOJ_00733","HHCDGDKF_00886","GIPNDHBP_00773"
"ssp","","Extracellular matrix protein-binding protein emp","5","5","1","1","2227","","","","1022","1022","1022","BPOBBBHG_00764","PCKNBOAI_00321","LDKIDLOJ_00737","HHCDGDKF_00890","GIPNDHBP_00777"
"group_145","","putative ABC transporter ATP-binding protein","5","5","1","1","1289","","","","356","641","584","BPOBBBHG_00912","PCKNBOAI_00173","LDKIDLOJ_00887","HHCDGDKF_01065","GIPNDHBP_01015"
"yfmC_1","","Fe(3+)-citrate-binding protein YfmC","5","5","1","1","1281","","","","359","959","839","BPOBBBHG_00917","PCKNBOAI_00170","LDKIDLOJ_00894","HHCDGDKF_01070","GIPNDHBP_01020"
"fib_1","","Fibrinogen-binding protein","5","5","1","1","3195","","","","317","329","326","BPOBBBHG_01030","PCKNBOAI_00056","LDKIDLOJ_01006","HHCDGDKF_01183","GIPNDHBP_01132"
"group_150","","superantigen-like protein","5","5","1","1","3214","","","","725","725","725","BPOBBBHG_01043","PCKNBOAI_00042","LDKIDLOJ_01020","HHCDGDKF_01197","GIPNDHBP_01145"
"group_152","","hypothetical protein","5","5","1","1","3358","","","","206","212","210","BPOBBBHG_01187","PCKNBOAI_02456","LDKIDLOJ_01167","HHCDGDKF_01343","GIPNDHBP_01290"
"cls_1","","Cardiolipin synthase","5","5","1","1","3370","","","","1481","1517","1495","BPOBBBHG_01198","PCKNBOAI_02449","LDKIDLOJ_01179","HHCDGDKF_01352","GIPNDHBP_01306"
"yitU_2","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU","5","5","1","1","3474","","","","626","767","738","BPOBBBHG_01255","PCKNBOAI_02392","LDKIDLOJ_01258","HHCDGDKF_01408","GIPNDHBP_01362"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","5","5","1","1","3457","","","","887","887","887","BPOBBBHG_01272","PCKNBOAI_02375","LDKIDLOJ_01275","HHCDGDKF_01425","GIPNDHBP_01379"
"group_157","","hypothetical protein","5","5","1","1","3451","","","","308","401","382","BPOBBBHG_01278","PCKNBOAI_02369","LDKIDLOJ_01281","HHCDGDKF_01431","GIPNDHBP_01385"
"group_161","","hypothetical protein","5","5","1","1","1936","","","","374","467","392","BPOBBBHG_01414","PCKNBOAI_02233","LDKIDLOJ_01485","HHCDGDKF_01568","GIPNDHBP_01588"
"comEA","","ComE operon protein 1","5","5","1","1","1887","","","","677","677","677","BPOBBBHG_01463","PCKNBOAI_02184","LDKIDLOJ_01534","HHCDGDKF_01619","GIPNDHBP_01637"
"fic","","Adenosine monophosphate-protein transferase SoFic","5","5","1","1","1875","","","","995","1220","1175","BPOBBBHG_01475","PCKNBOAI_02171","LDKIDLOJ_01546","HHCDGDKF_01633","GIPNDHBP_01649"
"group_166","","hypothetical protein","5","5","1","1","1828","","","","212","473","420","BPOBBBHG_01521","PCKNBOAI_02125","LDKIDLOJ_01592","HHCDGDKF_01679","GIPNDHBP_01695"
"dnaE","","DNA polymerase III subunit alpha","5","5","1","1","1358","","","","3197","3197","3197","BPOBBBHG_01564","PCKNBOAI_02083","LDKIDLOJ_01635","HHCDGDKF_01731","GIPNDHBP_01739"
"ald2","","Alanine dehydrogenase 2","5","5","1","1","1364","","","","914","1118","1077","BPOBBBHG_01570","PCKNBOAI_02077","LDKIDLOJ_01641","HHCDGDKF_01737","GIPNDHBP_01745"
"isdH","","Iron-regulated surface determinant protein H","5","5","1","1","1386","","","","1622","2687","2471","BPOBBBHG_01591","PCKNBOAI_02056","LDKIDLOJ_01662","HHCDGDKF_01758","GIPNDHBP_01767"
"group_174","","hypothetical protein","5","5","1","1","1427","","","","845","1502","1370","BPOBBBHG_01630","PCKNBOAI_02018","LDKIDLOJ_01701","HHCDGDKF_01798","GIPNDHBP_01807"
"crcB_2","","Putative fluoride ion transporter CrcB","5","5","1","1","1444","","","","353","353","353","BPOBBBHG_01642","PCKNBOAI_02005","LDKIDLOJ_01717","HHCDGDKF_01811","GIPNDHBP_01820"
"group_179","","65 kDa membrane protein","5","5","1","1","2347","","","","236","2048","630","BPOBBBHG_01832","PCKNBOAI_01813","LDKIDLOJ_01913","HHCDGDKF_02008","GIPNDHBP_02014"
"hlb_1","","Phospholipase C","5","5","1","1","2345","","","","200","995","359","BPOBBBHG_01834","PCKNBOAI_01811","LDKIDLOJ_01914","HHCDGDKF_02010","GIPNDHBP_02016"
"scrK","","Fructokinase","5","5","1","1","538","","","","800","959","927","BPOBBBHG_01855","PCKNBOAI_01733","LDKIDLOJ_02003","HHCDGDKF_02097","GIPNDHBP_02101"
"group_186","","Bacterial membrane flanked domain protein","5","5","1","1","454","","","","479","479","479","BPOBBBHG_01894","PCKNBOAI_01694","LDKIDLOJ_02045","HHCDGDKF_02288","GIPNDHBP_02140"
"ylmA","","putative ABC transporter ATP-binding protein YlmA","5","5","1","1","379","","","","782","782","782","BPOBBBHG_01967","PCKNBOAI_01620","LDKIDLOJ_02118","HHCDGDKF_02363","GIPNDHBP_02215"
"group_1883","","hypothetical protein","5","5","1","1","1227","","","","218","218","218","BPOBBBHG_00969","PCKNBOAI_00117","LDKIDLOJ_00945","HHCDGDKF_01122","GIPNDHBP_01071"
"pdhB","","Pyruvate dehydrogenase E1 component subunit beta","5","5","1","1","1223","","","","977","977","977","BPOBBBHG_00973","PCKNBOAI_00113","LDKIDLOJ_00949","HHCDGDKF_01126","GIPNDHBP_01075"
"group_1885","","hypothetical protein","5","5","1","1","1640","","","","266","266","266","BPOBBBHG_00806","PCKNBOAI_00278","LDKIDLOJ_00779","HHCDGDKF_00955","GIPNDHBP_00909"
"map","","Methionine aminopeptidase","5","5","1","1","146","","","","758","758","758","BPOBBBHG_01783","PCKNBOAI_01862","LDKIDLOJ_01856","HHCDGDKF_01959","GIPNDHBP_01964"
"rot","","HTH-type transcriptional regulator rot","5","5","1","1","1418","","","","401","401","401","BPOBBBHG_01623","PCKNBOAI_02025","LDKIDLOJ_01693","HHCDGDKF_01789","GIPNDHBP_01798"
"rpsR","","30S ribosomal protein S18","5","5","1","1","2313","","","","242","242","242","BPOBBBHG_00316","PCKNBOAI_00754","LDKIDLOJ_00329","HHCDGDKF_00446","GIPNDHBP_00339"
"rpsT","","30S ribosomal protein S20","5","5","1","1","1891","","","","251","251","251","BPOBBBHG_01459","PCKNBOAI_02188","LDKIDLOJ_01530","HHCDGDKF_01613","GIPNDHBP_01633"
"group_1890","","hypothetical protein","5","5","1","1","1220","","","","275","275","275","BPOBBBHG_00976","PCKNBOAI_00110","LDKIDLOJ_00952","HHCDGDKF_01129","GIPNDHBP_01078"
"glpF","","Glycerol uptake facilitator protein","5","5","1","1","3347","","","","818","818","818","BPOBBBHG_01175","PCKNBOAI_02468","LDKIDLOJ_01155","HHCDGDKF_01331","GIPNDHBP_01278"
"ftsZ","","Cell division protein FtsZ","5","5","1","1","3235","","","","1172","1172","1172","BPOBBBHG_01064","PCKNBOAI_02580","LDKIDLOJ_01041","HHCDGDKF_01218","GIPNDHBP_01166"
"rplY","","50S ribosomal protein L25","5","5","1","1","618","","","","653","653","653","BPOBBBHG_00455","PCKNBOAI_00645","LDKIDLOJ_00433","HHCDGDKF_00582","GIPNDHBP_00450"
"rpmA","","50S ribosomal protein L27","5","5","1","1","1833","","","","284","284","284","BPOBBBHG_01516","PCKNBOAI_02130","LDKIDLOJ_01587","HHCDGDKF_01674","GIPNDHBP_01690"
"rpsB","","30S ribosomal protein S2","5","5","1","1","3305","","","","767","767","767","BPOBBBHG_01133","PCKNBOAI_02510","LDKIDLOJ_01110","HHCDGDKF_01289","GIPNDHBP_01236"
"yfbR","","5'-deoxynucleotidase YfbR","5","5","1","1","2276","","","","650","650","650","BPOBBBHG_00731","PCKNBOAI_00379","LDKIDLOJ_00703","HHCDGDKF_00855","GIPNDHBP_00743"
"atpD","","ATP synthase subunit beta","5","5","1","1","426","","","","1412","1412","1412","BPOBBBHG_01921","PCKNBOAI_01666","LDKIDLOJ_02072","HHCDGDKF_02315","GIPNDHBP_02167"
"nucH","","Thermonuclease","5","5","1","1","3376","","","","533","533","533","BPOBBBHG_01204","PCKNBOAI_02443","LDKIDLOJ_01185","HHCDGDKF_01358","GIPNDHBP_01312"
"group_1899","","hypothetical protein","5","5","1","1","3091","","","","833","833","833","BPOBBBHG_00622","PCKNBOAI_00488","LDKIDLOJ_00591","HHCDGDKF_00746","GIPNDHBP_00633"
"cobB","","NAD-dependent protein deacetylase","5","5","1","1","333","","","","740","740","740","BPOBBBHG_02018","PCKNBOAI_01568","LDKIDLOJ_02170","HHCDGDKF_02418","GIPNDHBP_02271"
"group_1900","","hypothetical protein","5","5","1","1","140","","","","275","275","275","BPOBBBHG_01777","PCKNBOAI_01868","LDKIDLOJ_01850","HHCDGDKF_01953","GIPNDHBP_01958"
"rpmG2_1","","50S ribosomal protein L33 2","5","5","1","1","3387","","","","149","149","149","BPOBBBHG_01215","PCKNBOAI_02432","LDKIDLOJ_01196","HHCDGDKF_01369","GIPNDHBP_01323"
"group_1902","","hypothetical protein","5","5","1","1","3395","","","","287","287","287","BPOBBBHG_01223","PCKNBOAI_02424","LDKIDLOJ_01205","HHCDGDKF_01377","GIPNDHBP_01331"
"group_1903","","hypothetical protein","5","5","1","1","1293","","","","176","176","176","BPOBBBHG_00907","PCKNBOAI_00177","LDKIDLOJ_00883","HHCDGDKF_01060","GIPNDHBP_01011"
"group_1904","","hypothetical protein","5","5","1","1","1860","","","","260","260","260","BPOBBBHG_01489","PCKNBOAI_02157","LDKIDLOJ_01560","HHCDGDKF_01647","GIPNDHBP_01663"
"rpmI","","50S ribosomal protein L35","5","5","1","1","1801","","","","200","200","200","BPOBBBHG_01542","PCKNBOAI_02105","LDKIDLOJ_01613","HHCDGDKF_01706","GIPNDHBP_01715"
"sufB_2","","FeS cluster assembly protein SufB","5","5","1","1","2182","","","","1397","1397","1397","BPOBBBHG_00797","PCKNBOAI_00288","LDKIDLOJ_00770","HHCDGDKF_00946","GIPNDHBP_00828"
"sepF","","Cell division protein SepF","5","5","1","1","3238","","","","563","563","563","BPOBBBHG_01067","PCKNBOAI_02577","LDKIDLOJ_01044","HHCDGDKF_01221","GIPNDHBP_01169"
"rpsE","","30S ribosomal protein S5","5","5","1","1","282","","","","500","500","500","BPOBBBHG_02055","PCKNBOAI_01534","LDKIDLOJ_02199","HHCDGDKF_02451","GIPNDHBP_02303"
"nagB","","Glucosamine-6-phosphate deaminase","5","5","1","1","2958","","","","758","758","758","BPOBBBHG_00539","PCKNBOAI_00562","LDKIDLOJ_00517","HHCDGDKF_00663","GIPNDHBP_00534"
"icaR","","Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR","5","5","1","1","2806","","","","560","560","560","BPOBBBHG_02478","PCKNBOAI_01105","LDKIDLOJ_02644","HHCDGDKF_02895","GIPNDHBP_02733"
"walR","","Transcriptional regulatory protein WalR","5","5","1","1","2737","","","","701","701","701","BPOBBBHG_00020","PCKNBOAI_01038","LDKIDLOJ_00020","HHCDGDKF_00020","GIPNDHBP_00020"
"pyrC","","Dihydroorotase","5","5","1","1","3249","","","","1277","1277","1277","BPOBBBHG_01078","PCKNBOAI_02565","LDKIDLOJ_01055","HHCDGDKF_01234","GIPNDHBP_01181"
"group_1913","","putative acyl-CoA thioester hydrolase","5","5","1","1","136","","","","530","530","530","BPOBBBHG_01773","PCKNBOAI_01872","LDKIDLOJ_01846","HHCDGDKF_01949","GIPNDHBP_01954"
"era","","GTPase Era","5","5","1","1","1909","","","","899","899","899","BPOBBBHG_01441","PCKNBOAI_02206","LDKIDLOJ_01512","HHCDGDKF_01595","GIPNDHBP_01615"
"clpC","","ATP-dependent Clp protease ATP-binding subunit ClpC","5","5","1","1","2913","","","","2456","2456","2456","BPOBBBHG_00495","PCKNBOAI_00605","LDKIDLOJ_00473","HHCDGDKF_00619","GIPNDHBP_00490"
"ureA","","Urease subunit gamma","5","5","1","1","12","","","","302","302","302","BPOBBBHG_02108","PCKNBOAI_01480","LDKIDLOJ_02252","HHCDGDKF_02504","GIPNDHBP_02356"
"rpsM","","30S ribosomal protein S13","5","5","1","1","288","","","","365","365","365","BPOBBBHG_02048","PCKNBOAI_01541","LDKIDLOJ_02192","HHCDGDKF_02444","GIPNDHBP_02296"
"group_1918","","putative epimerase/dehydratase","5","5","1","1","2941","","","","965","965","965","BPOBBBHG_00523","PCKNBOAI_00577","LDKIDLOJ_00501","HHCDGDKF_00647","GIPNDHBP_00518"
"group_1919","","bifunctional preprotein translocase subunit SecD/SecF","5","5","1","1","1841","","","","2279","2279","2279","BPOBBBHG_01508","PCKNBOAI_02138","LDKIDLOJ_01579","HHCDGDKF_01666","GIPNDHBP_01682"
"modA","","Molybdate-binding periplasmic protein","5","5","1","1","237","","","","782","782","782","BPOBBBHG_02100","PCKNBOAI_01489","LDKIDLOJ_02244","HHCDGDKF_02496","GIPNDHBP_02348"
"ywaC","","GTP pyrophosphokinase YwaC","5","5","1","1","3563","","","","692","692","692","BPOBBBHG_02321","PCKNBOAI_01263","LDKIDLOJ_02474","HHCDGDKF_02715","GIPNDHBP_02575"
"cidA","","Holin-like protein CidA","5","5","1","1","3523","","","","395","395","395","BPOBBBHG_02355","PCKNBOAI_01230","LDKIDLOJ_02514","HHCDGDKF_02750","GIPNDHBP_02610"
"hemB","","Delta-aminolevulinic acid dehydratase","5","5","1","1","1812","","","","974","974","974","BPOBBBHG_01531","PCKNBOAI_02116","LDKIDLOJ_01602","HHCDGDKF_01695","GIPNDHBP_01704"
"yccX","","Acylphosphatase","5","5","1","1","3448","","","","269","269","269","BPOBBBHG_01281","PCKNBOAI_02366","LDKIDLOJ_01284","HHCDGDKF_01434","GIPNDHBP_01388"
"mrpF","","Na(+)/H(+) antiporter subunit F","5","5","1","1","3108","","","","302","302","302","BPOBBBHG_00605","PCKNBOAI_00506","LDKIDLOJ_00574","HHCDGDKF_00729","GIPNDHBP_00616"
"uhpT","","Hexose-6-phosphate:phosphate antiporter","5","5","1","1","1029","","","","1379","1379","1379","BPOBBBHG_00172","PCKNBOAI_00896","LDKIDLOJ_00186","HHCDGDKF_00231","GIPNDHBP_00188"
"rpe","","Ribulose-phosphate 3-epimerase","5","5","1","1","3271","","","","644","644","644","BPOBBBHG_01099","PCKNBOAI_02544","LDKIDLOJ_01076","HHCDGDKF_01255","GIPNDHBP_01202"
"comK","","Competence transcription factor","5","5","1","1","1296","","","","569","569","569","BPOBBBHG_00904","PCKNBOAI_00180","LDKIDLOJ_00880","HHCDGDKF_01057","GIPNDHBP_01008"
"ykoE","","Putative HMP/thiamine permease protein YkoE","5","5","1","1","1241","","","","575","575","575","BPOBBBHG_00956","PCKNBOAI_00130","LDKIDLOJ_00933","HHCDGDKF_01109","GIPNDHBP_01059"
"group_1929","","hypothetical protein","5","5","1","1","3058","","","","488","488","488","BPOBBBHG_00650","PCKNBOAI_00460","LDKIDLOJ_00620","HHCDGDKF_00774","GIPNDHBP_00662"
"ureD1","","Urease accessory protein UreD","5","5","1","1","18","","","","371","836","743","BPOBBBHG_02114","PCKNBOAI_01474","LDKIDLOJ_02258","HHCDGDKF_02510","GIPNDHBP_02362"
"nupC_2","","Nucleoside permease NupC","5","5","1","1","2909","","","","1214","1214","1214","BPOBBBHG_00491","PCKNBOAI_00609","LDKIDLOJ_00469","HHCDGDKF_00615","GIPNDHBP_00486"
"moaD","","Molybdopterin synthase sulfur carrier subunit","5","5","1","1","246","","","","233","233","233","BPOBBBHG_02091","PCKNBOAI_01498","LDKIDLOJ_02235","HHCDGDKF_02487","GIPNDHBP_02339"
"mazF","","Endoribonuclease MazF","5","5","1","1","460","","","","362","362","362","BPOBBBHG_01888","PCKNBOAI_01700","LDKIDLOJ_02039","HHCDGDKF_02282","GIPNDHBP_02134"
"fabG","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","5","5","1","1","3280","","","","734","734","734","BPOBBBHG_01108","PCKNBOAI_02535","LDKIDLOJ_01085","HHCDGDKF_01264","GIPNDHBP_01211"
"tuf","","Elongation factor Tu","5","5","1","1","2936","","","","1184","1184","1184","BPOBBBHG_00518","PCKNBOAI_00582","LDKIDLOJ_00496","HHCDGDKF_00642","GIPNDHBP_00513"
"group_1935","","hypothetical protein","5","5","1","1","1944","","","","581","581","581","BPOBBBHG_01406","PCKNBOAI_02241","LDKIDLOJ_01477","HHCDGDKF_01560","GIPNDHBP_01580"
"kdpE","","KDP operon transcriptional regulatory protein KdpE","5","5","1","1","449","","","","695","695","695","BPOBBBHG_01899","PCKNBOAI_01689","LDKIDLOJ_02050","HHCDGDKF_02293","GIPNDHBP_02145"
"group_1937","","hypothetical protein","5","5","1","1","2973","","","","452","452","452","BPOBBBHG_00554","PCKNBOAI_00547","LDKIDLOJ_00532","HHCDGDKF_00678","GIPNDHBP_00549"
"ftsL","","Cell division protein FtsL","5","5","1","1","3229","","","","401","401","401","BPOBBBHG_01058","PCKNBOAI_02586","LDKIDLOJ_01035","HHCDGDKF_01212","GIPNDHBP_01160"
"ytpP","","Thioredoxin-like protein YtpP","5","5","1","1","1399","","","","311","311","311","BPOBBBHG_01605","PCKNBOAI_02043","LDKIDLOJ_01675","HHCDGDKF_01771","GIPNDHBP_01780"
"apt","","Adenine phosphoribosyltransferase","5","5","1","1","1843","","","","518","518","518","BPOBBBHG_01506","PCKNBOAI_02140","LDKIDLOJ_01577","HHCDGDKF_01664","GIPNDHBP_01680"
"group_1941","","hypothetical protein","5","5","1","1","1628","","","","236","236","236","BPOBBBHG_00818","PCKNBOAI_00266","LDKIDLOJ_00791","HHCDGDKF_00967","GIPNDHBP_00921"
"yjjP","","Inner membrane protein YjjP","5","5","1","1","2265","","","","761","761","761","BPOBBBHG_00720","PCKNBOAI_00390","LDKIDLOJ_00691","HHCDGDKF_00844","GIPNDHBP_00732"
"infC","","Translation initiation factor IF-3","5","5","1","1","1800","","","","560","560","560","BPOBBBHG_01543","PCKNBOAI_02104","LDKIDLOJ_01614","HHCDGDKF_01707","GIPNDHBP_01716"
"tcaR","","HTH-type transcriptional regulator TcaR","5","5","1","1","82","","","","455","455","455","BPOBBBHG_02175","PCKNBOAI_01410","LDKIDLOJ_02319","HHCDGDKF_02572","GIPNDHBP_02424"
"tcyC_1","","L-cystine import ATP-binding protein TcyC","5","5","1","1","1487","","","","728","728","728","BPOBBBHG_01721","PCKNBOAI_01925","LDKIDLOJ_01791","HHCDGDKF_01895","GIPNDHBP_01901"
"group_1948","","cobyric acid synthase","5","5","1","1","149","","","","731","731","731","BPOBBBHG_01786","PCKNBOAI_01859","LDKIDLOJ_01859","HHCDGDKF_01962","GIPNDHBP_01967"
"adk","","Adenylate kinase","5","5","1","1","286","","","","647","647","647","BPOBBBHG_02051","PCKNBOAI_01538","LDKIDLOJ_02195","HHCDGDKF_02447","GIPNDHBP_02299"
"yhaI","","Inner membrane protein YhaI","5","5","1","1","66","","","","620","647","630","BPOBBBHG_02161","PCKNBOAI_01425","LDKIDLOJ_02305","HHCDGDKF_02558","GIPNDHBP_02410"
"deoB","","Phosphopentomutase","5","5","1","1","946","","","","1178","1178","1178","BPOBBBHG_00088","PCKNBOAI_00978","LDKIDLOJ_00110","HHCDGDKF_00156","GIPNDHBP_00109"
"group_1953","","pheromone autoinducer 2 transporter","5","5","1","1","1309","","","","1085","1085","1085","BPOBBBHG_00889","PCKNBOAI_00195","LDKIDLOJ_00865","HHCDGDKF_01041","GIPNDHBP_00993"
"secG","","putative protein-export membrane protein SecG","5","5","1","1","2299","","","","233","233","233","BPOBBBHG_00754","PCKNBOAI_00356","LDKIDLOJ_00727","HHCDGDKF_00878","GIPNDHBP_00766"
"ribU","","Riboflavin transporter RibU","5","5","1","1","1774","","","","545","545","545","BPOBBBHG_01361","PCKNBOAI_02289","LDKIDLOJ_01363","HHCDGDKF_01514","GIPNDHBP_01468"
"rpsD","","30S ribosomal protein S4","5","5","1","1","1374","","","","602","602","602","BPOBBBHG_01580","PCKNBOAI_02067","LDKIDLOJ_01651","HHCDGDKF_01747","GIPNDHBP_01756"
"fba","","Fructose-bisphosphate aldolase","5","5","1","1","403","","","","860","860","860","BPOBBBHG_01943","PCKNBOAI_01644","LDKIDLOJ_02094","HHCDGDKF_02337","GIPNDHBP_02189"
"srrA","","Transcriptional regulatory protein SrrA","5","5","1","1","1981","","","","725","725","725","BPOBBBHG_01368","PCKNBOAI_02281","LDKIDLOJ_01439","HHCDGDKF_01522","GIPNDHBP_01541"
"alsT_2","","Amino-acid carrier protein AlsT","5","5","1","1","3408","","","","1460","1460","1460","BPOBBBHG_01235","PCKNBOAI_02412","LDKIDLOJ_01219","HHCDGDKF_01389","GIPNDHBP_01343"
"pbpX_2","","Putative penicillin-binding protein PbpX","5","5","1","1","3646","","","","1496","1496","1496","BPOBBBHG_02259","PCKNBOAI_01328","LDKIDLOJ_02407","HHCDGDKF_02656","GIPNDHBP_02508"
"group_1960","","hypothetical protein","5","5","1","1","654","","","","269","269","269","BPOBBBHG_00415","PCKNBOAI_00684","LDKIDLOJ_00394","HHCDGDKF_00543","GIPNDHBP_00411"
"rplW","","50S ribosomal protein L23","5","5","1","1","267","","","","275","275","275","BPOBBBHG_02070","PCKNBOAI_01519","LDKIDLOJ_02214","HHCDGDKF_02466","GIPNDHBP_02318"
"nadK","","NAD kinase","5","5","1","1","1314","","","","809","809","809","BPOBBBHG_00884","PCKNBOAI_00200","LDKIDLOJ_00860","HHCDGDKF_01036","GIPNDHBP_00988"
"group_1963","","hypothetical protein","5","5","1","1","145","","","","386","386","386","BPOBBBHG_01782","PCKNBOAI_01863","LDKIDLOJ_01855","HHCDGDKF_01958","GIPNDHBP_01963"
"mqo2","","putative malate:quinone oxidoreductase 2","5","5","1","1","2871","","","","1496","1496","1496","BPOBBBHG_02419","PCKNBOAI_01164","LDKIDLOJ_02581","HHCDGDKF_02835","GIPNDHBP_02674"
"group_1965","","5-bromo-4-chloroindolyl phosphate hydrolysis protein","5","5","1","1","3447","","","","623","623","623","BPOBBBHG_01282","PCKNBOAI_02365","LDKIDLOJ_01285","HHCDGDKF_01435","GIPNDHBP_01389"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase","5","5","1","1","1381","","","","617","617","617","BPOBBBHG_01587","PCKNBOAI_02060","LDKIDLOJ_01658","HHCDGDKF_01754","GIPNDHBP_01763"
"butA","","Diacetyl reductase [(S)-acetoin forming]","5","5","1","1","2627","","","","776","776","776","BPOBBBHG_00076","PCKNBOAI_00990","LDKIDLOJ_00099","HHCDGDKF_00144","GIPNDHBP_00097"
